# Region type : patch outlet
# Faces       : 4
# Area        : 4.500000e-06
# Scale factor: 1.000000e+00
# Time        	average(U)	average(p)
7.05          	(3.268794e+01 -1.007034e-07 0.000000e+00)	1.013477e+05
7.1           	(3.263698e+01 -9.407362e-08 0.000000e+00)	1.013477e+05
7.15          	(3.259308e+01 -8.422399e-08 0.000000e+00)	1.013477e+05
7.2           	(3.255688e+01 -7.596692e-08 0.000000e+00)	1.013477e+05
7.25          	(3.252892e+01 -7.655514e-08 0.000000e+00)	1.013477e+05
7.3           	(3.250960e+01 -7.883650e-08 0.000000e+00)	1.013477e+05
7.35          	(3.249920e+01 -6.403981e-08 0.000000e+00)	1.013477e+05
7.4           	(3.249787e+01 -5.287635e-08 0.000000e+00)	1.013477e+05
7.45          	(3.250562e+01 -4.264775e-08 0.000000e+00)	1.013477e+05
7.5           	(3.252235e+01 -4.088029e-08 0.000000e+00)	1.013477e+05
7.55          	(3.254782e+01 -4.282004e-08 0.000000e+00)	1.013477e+05
7.6           	(3.258167e+01 -3.883173e-08 0.000000e+00)	1.013477e+05
7.65          	(3.262340e+01 -3.027419e-08 0.000000e+00)	1.013477e+05
7.7           	(3.267241e+01 -1.960749e-08 0.000000e+00)	1.013477e+05
7.75          	(3.272800e+01 -1.493806e-08 0.000000e+00)	1.013477e+05
7.8           	(3.278937e+01 -1.985183e-08 0.000000e+00)	1.013477e+05
7.85          	(3.285566e+01 -1.338668e-08 0.000000e+00)	1.013477e+05
7.9           	(3.292593e+01 -1.008255e-08 0.000000e+00)	1.013477e+05
7.95          	(3.299919e+01 -4.136737e-09 0.000000e+00)	1.013477e+05
8             	(3.307441e+01 9.374575e-10 0.000000e+00)	1.013477e+05
8.05          	(3.315056e+01 3.480329e-09 0.000000e+00)	1.013477e+05
8.1           	(3.322659e+01 4.136967e-09 0.000000e+00)	1.013477e+05
8.15          	(3.330146e+01 8.592299e-09 0.000000e+00)	1.013477e+05
8.2           	(3.337416e+01 3.431200e-10 0.000000e+00)	1.013477e+05
8.25          	(3.344371e+01 2.393752e-10 0.000000e+00)	1.013477e+05
8.3           	(3.350916e+01 6.558182e-09 0.000000e+00)	1.013477e+05
8.35          	(3.356965e+01 1.406315e-08 0.000000e+00)	1.013477e+05
8.4           	(3.362437e+01 9.817309e-10 0.000000e+00)	1.013477e+05
8.45          	(3.367262e+01 -3.196125e-09 0.000000e+00)	1.013477e+05
8.5           	(3.371376e+01 5.741620e-09 0.000000e+00)	1.013477e+05
8.55          	(3.374723e+01 3.316143e-09 0.000000e+00)	1.013477e+05
8.6           	(3.377262e+01 6.022968e-09 0.000000e+00)	1.013477e+05
8.65          	(3.378959e+01 2.887109e-08 0.000000e+00)	1.013477e+05
8.7           	(3.379790e+01 2.302546e-08 0.000000e+00)	1.013477e+05
8.75          	(3.379747e+01 6.144407e-09 0.000000e+00)	1.013477e+05
8.8           	(3.378833e+01 -5.018217e-09 0.000000e+00)	1.013477e+05
8.85          	(3.377057e+01 -1.230493e-08 0.000000e+00)	1.013477e+05
8.9           	(3.374443e+01 -2.094053e-08 0.000000e+00)	1.013477e+05
8.95          	(3.371025e+01 -2.371631e-08 0.000000e+00)	1.013477e+05
9             	(3.366847e+01 -3.644219e-08 0.000000e+00)	1.013477e+05
9.05          	(3.361964e+01 -6.105256e-08 0.000000e+00)	1.013477e+05
9.1           	(3.356443e+01 -7.979808e-08 0.000000e+00)	1.013477e+05
9.15          	(3.350354e+01 -9.191190e-08 0.000000e+00)	1.013477e+05
9.2           	(3.343778e+01 -8.931206e-08 0.000000e+00)	1.013477e+05
9.25          	(3.336801e+01 -1.025668e-07 0.000000e+00)	1.013477e+05
9.3           	(3.329518e+01 -1.196625e-07 0.000000e+00)	1.013477e+05
9.35          	(3.322028e+01 -1.356069e-07 0.000000e+00)	1.013477e+05
9.4           	(3.314431e+01 -1.314245e-07 0.000000e+00)	1.013477e+05
9.45          	(3.306830e+01 -1.359615e-07 0.000000e+00)	1.013477e+05
9.5           	(3.299329e+01 -1.057474e-07 0.000000e+00)	1.013477e+05
9.55          	(3.292030e+01 -1.061980e-07 0.000000e+00)	1.013477e+05
9.6           	(3.285037e+01 -1.085071e-07 0.000000e+00)	1.013477e+05
9.65          	(3.278449e+01 -1.088335e-07 0.000000e+00)	1.013477e+05
9.7           	(3.272358e+01 -1.003239e-07 0.000000e+00)	1.013477e+05
